cluster_id,gold,tissue_name,stage_hpf,kind,scored,agrees,agrees_overlay,confidence,confidence_score,margin,ood,abstain_reason,n_resolved,n_markers,vocab_hit_rate,depth,zfa_id,bucket,panel_bucket,convergent_genes,attractor_groundings,thin_overcall,support_fraction,n_candidates
endo.21,endo,endoderm,96.0,named,1,1,1,low,0.3784,0.0158,in_set,,22,25,0.08,7,ZFA:0001338,intestine,intestine,aldob;cldn15la;elovl1b;pax4;s100a1;stoml3b;tm4sf4;vil1,,0,0.421,3
endo.22,endo,endoderm,84.0,named,1,1,1,medium,0.7222,0.1778,in_set,,23,25,0.08,7,ZFA:0000140,pancreas,pancreas,aqp12;cel.1;cpa5;ctrb.1;ctrl;gamt;nupr1b;pdia2;prss1;prss59.1;rtn1a;sec61g,,0,0.75,1
endo.23,endo,endoderm,108.0,named,1,1,1,medium,0.7237,0.1816,in_set,,22,25,0.08,7,ZFA:0000140,pancreas,pancreas,amy2a;cel.1;cpa4;cpa5;ctrb.1;ctrl;ela2l;ela3l;nupr1b;pdia2;prss1;prss59.1,,0,0.75,1
endo.24,endo,endoderm,8.0,abstain,1,,,,,0.0287,in_set,weak_signal,25,25,0.08,0,,mixed/unresolved,,,,,,1
endo.25,endo,endoderm,12.0,abstain,1,,,,,0.0,no_signal,no_panel,25,25,0.04,0,,mixed/unresolved,,,,,,0
endo.26,endo,endoderm,12.0,abstain,1,,,,,0.0,no_signal,no_panel,25,25,0.04,0,,mixed/unresolved,,,,,,0
endo.27,endo,endoderm,24.0,abstain,1,,,,,0.0,in_set,weak_signal,24,25,0.04,0,,mixed/unresolved,,,,,,2
endo.28,endo,endoderm,108.0,abstain,1,,,,,0.0509,in_set,weak_signal,23,25,0.12,0,,mixed/unresolved,,,,,,2
endo.29,endo,endoderm,108.0,abstain,1,,,,,0.0463,in_set,weak_signal,22,25,0.12,0,,mixed/unresolved,,,,,,3
endo.3,endo,endoderm,108.0,named,1,1,1,medium,0.7045,0.1628,in_set,,24,25,0.16,5,ZFA:0000123,liver,liver,aldob;ambp;apoa1b;apoa2;apoa4b.1;apom;bhmt;f2;fabp10a;fga;fgb;fgg;gamt;gapdh;gpx4a;grhprb;hpda;kng1;rbp2b;serpina1;serpina1l;suclg1;tfa,,0,0.958,1
endo.30,endo,endoderm,108.0,abstain,1,,,,,0.0313,in_set,weak_signal,22,25,0.08,0,,mixed/unresolved,,,,,,2
endo.31,endo,endoderm,14.0,abstain,1,,,,,0.0564,in_set,weak_signal,22,25,0.12,0,,mixed/unresolved,,,,,,2
endo.32,endo,endoderm,108.0,abstain,1,,,,,0.0,in_set,weak_signal,23,25,0.04,0,,mixed/unresolved,,,,,,2
endo.33,endo,endoderm,108.0,abstain,1,,,,,0.0,in_set,weak_signal,23,25,0.08,0,,mixed/unresolved,,,,,,3
endo.34,endo,endoderm,24.0,abstain,1,,,,,0.0056,in_set,weak_signal,24,25,0.08,0,,mixed/unresolved,,,,,,2
endo.4,endo,endoderm,120.0,named,1,1,1,low,0.575,0.1088,in_set,,25,25,0.12,5,ZFA:0000123,liver,liver,afp4;ahcy;aldob;apoa1b;apoa2;apoa4b.1;apoc1;apoc2;apom;bhmt;fabp10a;gamt;gapdh;gpx4a;grhprb;pklr;rbp2b;rbp4;scp2a;serpina1;serpina1l;tfa;uox,,0,0.92,1
endo.5,endo,endoderm,84.0,named,1,1,1,low,0.4451,0.0574,in_set,,25,25,0.08,5,ZFA:0000123,liver,liver,agxta;aldob;anxa4;apoa1b;apoa2;aqp12;bhmt;cox6b1;fgg;gamt;gpd1b;grhprb;hspd1;hspe1;nme2b.1;npm1a;pcbd1;pklr;rbp2b;serpina1;serpina1l;tfa,,0,0.917,1
endo.6,endo,endoderm,96.0,named,1,1,1,low,0.5534,0.1019,in_set,,24,25,0.12,5,ZFA:0000123,liver,liver,ahcy;aldob;ambp;apoa1b;apoa2;bhmt;fabp10a;fgb;gamt;gapdh;grhprb;hpda;kng1;mdh1aa;prdx2;rbp2b;serpina1;serpina1l;sod1;suclg1;tfa;uox,,0,0.957,1
endo.7,endo,endoderm,24.0,abstain,1,,,,,0.0013,in_set,weak_signal,25,25,0.08,0,,mixed/unresolved,,,,,,2
endo.8,endo,endoderm,108.0,abstain,1,,,,,0.0303,in_set,weak_signal,24,25,0.04,0,,mixed/unresolved,,,,,,1
endo.9,endo,endoderm,48.0,abstain,1,,,,,0.0,no_signal,no_panel,24,25,0.0,0,,mixed/unresolved,,,,,,0
epid.1,epid,epidermis,108.0,named,1,1,1,low,0.4555,0.0236,in_set,,25,25,0.16,6,ZFA:0000105,epidermis,epidermis,aqp3a;capns1a;cfl1l;cldni;col11a1a;col1a1a;col1a1b;col1a2;cotl1;cyt1;krt1-19e;krt4;krt5;krt91;pfn1;postnb;rbp4;s100a10b;sparc,epidermis,0,0.905,2
epid.10,epid,epidermis,108.0,named,1,1,1,low,0.5286,0.0721,in_set,,24,25,0.12,6,ZFA:0000105,epidermis,epidermis,anxa1a;aqp3a;capns1a;cfl1l;cldni;col1a1b;col1a2;cotl1;cyt1;krt1-19e;krt4;krt5;krt91;lgals1l1;pfn1;rbp4;s100a10b;sparc,epidermis,0,0.857,2
epid.11,epid,epidermis,84.0,named,1,1,1,low,0.4274,0.0124,in_set,,23,25,0.16,6,ZFA:0000105,epidermis,epidermis,aqp3a;cfl1l;cldni;col11a1a;col1a1a;col1a1b;col1a2;col2a1b;cotl1;cyt1;krt1-19e;krt4;krt5;pfn1;postnb;rbp4;s100a10b;sparc,epidermis,0,0.857,2
epid.12,epid,epidermis,24.0,abstain,1,,,,,0.0613,in_set,weak_signal,23,25,0.12,0,,mixed/unresolved,,,,,,2
epid.13,epid,epidermis,48.0,abstain,1,,,,,0.0026,structural,weak_signal,24,25,0.12,0,,mixed/unresolved,,,,,,2
epid.14,epid,epidermis,24.0,abstain,1,,,,,0.1036,in_set,weak_signal,24,25,0.08,0,,mixed/unresolved,,,,,,1
epid.15,epid,epidermis,14.0,abstain,1,,,,,0.0381,in_set,weak_signal,24,25,0.08,0,,mixed/unresolved,,,,,,1
epid.16,epid,epidermis,48.0,abstain,1,,,,,0.0308,in_set,weak_signal,23,25,0.08,0,,mixed/unresolved,,,,,,1
epid.17,epid,epidermis,104.0,named,1,1,1,low,0.4456,0.0236,in_set,,24,25,0.2,6,ZFA:0000105,epidermis,epidermis,aqp3a;cfl1l;cldni;col1a1a;col1a1b;col1a2;cotl1;cyt1;krt1-19e;krt4;krt5;krt91;pfn1;rbp4;s100a10b;sparc,epidermis,0,0.727,3
epid.18,epid,epidermis,24.0,abstain,1,,,,,0.0634,in_set,weak_signal,24,25,0.08,0,,mixed/unresolved,,,,,,1
epid.19,epid,epidermis,120.0,named,1,1,1,low,0.4691,0.0317,in_set,,25,25,0.16,6,ZFA:0000105,epidermis,epidermis,anxa1a;cfl1l;cldni;col11a1a;col1a1a;col1a1b;col1a2;cyt1;krt1-19e;krt4;krt5;krt91;pfn1;postnb;rbp4;s100a10b;sparc,epidermis,0,0.85,2
epid.2,epid,epidermis,108.0,named,1,1,1,low,0.4732,0.0539,in_set,,24,25,0.12,6,ZFA:0000105,epidermis,epidermis,apoeb;aqp3a;capns1a;cfl1l;cldni;col1a2;cotl1;cyt1;krt4;krt5;krt91;pfn1;s100a10b;sparc;tagln2,epidermis,0,0.75,2
epid.20,epid,epidermis,96.0,abstain,1,,,,,0.0307,in_set,weak_signal,22,25,0.08,0,,mixed/unresolved,,,,,,1
epid.21,epid,epidermis,108.0,abstain,1,,,,,0.0328,in_set,weak_signal,22,25,0.08,0,,mixed/unresolved,,,,,,2
epid.22,epid,epidermis,14.0,abstain,1,,,,,0.0,no_signal,no_panel,24,25,0.0,0,,mixed/unresolved,,,,,,0
epid.23,epid,epidermis,108.0,named,1,1,1,low,0.4735,0.0253,in_set,,25,25,0.16,6,ZFA:0000105,epidermis,epidermis,anxa1a;capns1a;cfl1l;cldni;col11a1a;col1a1a;col1a1b;col1a2;col2a1b;cotl1;cyt1;krt1-19e;krt4;krt5;krt91;lgals1l1;pfn1;rbp4;s100a10b;sparc,epidermis,0,0.952,2
epid.24,epid,epidermis,108.0,rollup,1,,,medium,0.6844,0.1531,in_set,,22,25,0.16,1,,ectoderm,ectoderm,,,,,2
epid.25,epid,epidermis,14.0,abstain,1,,,,,0.0282,in_set,weak_signal,24,25,0.04,0,,mixed/unresolved,,,,,,1
epid.26,epid,epidermis,14.0,abstain,1,,,,,0.0433,in_set,weak_signal,24,25,0.04,0,,mixed/unresolved,,,,,,1
epid.27,epid,epidermis,108.0,named,1,1,1,low,0.4891,0.0413,in_set,,23,25,0.2,6,ZFA:0000105,epidermis,epidermis,aqp3a;atp1b1b;capns1a;cfl1l;cldni;col11a1a;col1a1a;col1a1b;col1a2;cyt1;krt1-19e;krt4;krt5;krt91;pfn1;rbp4;s100a10b;sparc,epidermis,0,0.857,3
epid.28,epid,epidermis,104.0,named,1,1,1,low,0.4961,0.0283,in_set,,23,25,0.16,6,ZFA:0000105,epidermis,epidermis,aqp3a;cfl1l;cldni;col11a1a;col1a1a;col1a1b;col1a2;col2a1b;cotl1;cyt1;krt1-19e;krt4;krt5;krt91;pfn1;postnb;rbp4;s100a10b;sparc,epidermis,0,0.905,2
epid.29,epid,epidermis,48.0,abstain,1,,,,,0.0832,in_set,weak_signal,21,25,0.16,0,,mixed/unresolved,,,,,,1
epid.3,epid,epidermis,84.0,named,1,1,1,low,0.4639,0.0243,in_set,,24,25,0.16,6,ZFA:0000105,epidermis,epidermis,aqp3a;capns1a;cfl1l;cldni;col11a1a;col1a1a;col1a1b;col1a2;cotl1;cyt1;krt1-19e;krt4;krt5;krt91;pfn1;postnb;rbp4;s100a10b;sparc,epidermis,0,0.864,2
epid.30,epid,epidermis,104.0,abstain,1,,,,,0.0166,in_set,weak_signal,21,25,0.16,0,,mixed/unresolved,,,,,,2
epid.31,epid,epidermis,104.0,named,1,1,1,low,0.4872,0.0409,in_set,,24,25,0.16,6,ZFA:0000105,epidermis,epidermis,aqp3a;capns1a;cfl1l;cldni;col1a1a;col1a1b;col1a2;cotl1;cyt1;krt1-19e;krt4;krt5;krt91;pfn1;rbp4;s100a10b;sparc,epidermis,0,0.81,2
