zfa_id,name,tier,tier_prefloor,usefulness_score,cell_slim,has_cl,cell_identity,ic,credited_genes,direct_genes,n_children,n_is_a_parents,n_part_of_parents,is_leaf,obsolete,in_stoplist,admin_container,structural_container,pure_grouper,curated,on_discernible_step,flags
ZFA:0005389,gill opening,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005390,gill ray,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005391,head sensory canal system,T4,T4,1.0,0,0,0,0.0,0,0,5,1,0,0,0,0,0,0,0,0,0,
ZFA:0005392,infraorbital sensory canal,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005393,otic sensory canal,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005394,post-otic sensory canal,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005395,preoperculo-mandibular sensory canal,T4,T4,1.0,0,0,0,0.0,0,0,2,1,1,0,0,0,0,0,0,0,0,
ZFA:0005396,supraorbital sensory canal,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005397,hyoideomandibular nerve,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005398,anal fin actinotrichium,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005399,anal fin lepidotrichium 1,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005400,anal fin lepidotrichium 2,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005401,anal fin lepidotrichium 3,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005402,anal fin lepidotrichium 4,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005403,anal fin lepidotrichium 5,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005404,anal fin lepidotrichium 6,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005405,anal fin lepidotrichium 7,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005406,anterior myodome,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005407,anterior nasal barbel,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005411,common crus,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005412,transverse canal,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005413,perilymph,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005414,endolymph,T4,T4,1.0,0,0,0,0.0,0,0,0,1,2,1,0,0,0,0,0,0,0,
ZFA:0005415,inner ear foramen,T4,T4,1.0,0,0,0,0.0,0,0,2,1,1,0,0,0,0,0,0,0,0,
ZFA:0005416,sacculoagenar foramen,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005417,utriculosaccular foramen,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005418,auditory fenestra,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005419,auditory foramen,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005420,autopalatine-lateral ethmoid joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005421,autopalatine-maxillary joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005422,autopalatine-vomer joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005423,basioccipital-exoccipital joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005424,caudal fin actinotrichium,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005426,coracoid foramen,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005427,dentary foramen,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
