parent_id,parent_name,child_id,child_name,relation,support_parent,support_child,retained,child_unique_frac,sufficient,discernible,dead_step,naive_direct_jaccard
ZFA:0001477,portion of tissue,ZFA:0000267,primary olfactory fiber layer,is_a,6996,5,0.0007,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000279,segmental plate,is_a,6996,725,0.1036,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000309,external yolk syncytial layer,is_a,6996,12,0.0017,0.0833,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000319,branchiostegal membrane,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000352,external cellular layer,is_a,6996,10,0.0014,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000355,roof plate midbrain region,is_a,6996,5,0.0007,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000358,granular layer corpus cerebelli,is_a,6996,43,0.0061,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000386,macula,is_a,6996,94,0.0134,0.0532,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000393,mesenchyme,is_a,6996,1113,0.1591,0.0296,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000394,molecular layer corpus cerebelli,is_a,6996,15,0.0021,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000447,tela chorioidea,is_a,6996,6,0.0009,0.1667,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000451,upper oral valve,is_a,6996,0,0.0,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000516,periventricular grey zone,is_a,6996,160,0.0229,0.0063,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000570,optic primordium,is_a,6996,110,0.0157,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000573,internal cellular layer,is_a,6996,15,0.0021,0.0667,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000582,saccus dorsalis,is_a,6996,5,0.0007,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000636,cerebellar crest,is_a,6996,18,0.0026,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000652,dorsal root,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000667,gill filament,is_a,6996,9,0.0013,0.1111,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000705,ventral root,is_a,6996,6,0.0009,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000712,internal yolk syncytial layer,is_a,6996,9,0.0013,0.2222,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000761,basal plate midbrain region,is_a,6996,292,0.0417,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000766,granular layer valvula cerebelli,is_a,6996,39,0.0056,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000786,medial migration pathway mesenchyme,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000824,roof plate rhombomere 2,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000825,roof plate rhombomere 6,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000828,roof plate rhombomere 5,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000913,molecular layer valvula cerebelli,is_a,6996,14,0.002,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000950,roof plate rhombomere 3,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000951,roof plate rhombomere 7,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000992,lateral migration pathway mesenchyme,is_a,6996,0,0.0,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0000993,lateral wall neural rod,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001033,roof plate rhombomere 1,is_a,6996,0,0.0,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001034,roof plate rhombomere 4,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001035,roof plate rhombomere 8,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001071,presumptive neural retina,is_a,6996,137,0.0196,0.0292,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001072,thyroid follicle,is_a,6996,29,0.0041,0.1379,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001080,sclerotome,is_a,6996,31,0.0044,0.0645,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001081,thyroid primordium,is_a,6996,18,0.0026,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001082,chordo neural hinge,is_a,6996,49,0.007,0.0204,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001107,internal gill bud,is_a,6996,2,0.0003,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001112,granulosa cell layer,is_a,6996,7,0.001,0.2857,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001120,neuroectoderm,is_a,6996,223,0.0319,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001122,primary germ layer,is_a,6996,2828,0.4042,0.0675,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001125,organizer inducing center,is_a,6996,5,0.0007,0.2,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001126,noninvoluting endocytic marginal cell cluster,is_a,6996,3,0.0004,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001135,neural tube,is_a,6996,1372,0.1961,0.0372,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001136,hypodermis,is_a,6996,11,0.0016,0.1818,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001153,tooth placode,is_a,6996,20,0.0029,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001177,roof plate spinal cord region,is_a,6996,7,0.001,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001178,non neural ectoderm,is_a,6996,23,0.0033,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001179,epidermal superficial stratum,is_a,6996,16,0.0023,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001180,epidermal basal stratum,is_a,6996,10,0.0014,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001181,epidermal intermediate stratum,is_a,6996,0,0.0,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001182,dermal deep region,is_a,6996,0,0.0,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001195,pars anterior,is_a,6996,28,0.004,0.0357,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001197,pars intermedia,is_a,6996,15,0.0021,0.2,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001198,adenohypophyseal placode,is_a,6996,29,0.0041,0.1034,1,1,0,0.0
