zfa_id,name,tier,cell_identity,credited_genes,reach
ZFA:0007045,midbrain hindbrain boundary neural keel,T1,0,57,unreachable
ZFA:0005335,swim bladder bud,T1,0,56,via_develops_from
ZFA:0000067,pronephric mesoderm,T1,0,56,unreachable
ZFA:0001462,somite border,T1,0,54,via_develops_from
ZFA:0000863,dermatocranium,T1,0,54,unreachable
ZFA:0009025,myoblast,T1,1,53,unreachable
ZFA:0001690,groove,T1,0,53,unreachable
ZFA:0007036,hindbrain neural rod,T1,0,52,unreachable
ZFA:0000053,presumptive segmental plate,T1,0,51,unreachable
ZFA:0001212,presumptive rhombomere 4,T1,0,51,unreachable
ZFA:0007046,midbrain hindbrain boundary neural rod,T1,0,51,unreachable
ZFA:0005958,early palate,T1,0,50,unreachable
ZFA:0001082,chordo neural hinge,T1,0,49,unreachable
ZFA:0005040,posterior lateral mesoderm,T1,0,49,unreachable
ZFA:0007016,anterior neural plate,T1,0,49,unreachable
ZFA:0009100,peptide hormone secreting cell,T1,1,48,unreachable
ZFA:0000122,lens placode,T1,0,47,unreachable
ZFA:0001559,vertebral column,T1,0,46,via_develops_from
ZFA:0000711,DEL,T1,0,46,unreachable
ZFA:0005759,visceral fat,T1,0,45,unreachable
ZFA:0009139,endodermal cell,T1,1,43,via_develops_from
ZFA:0009354,hematopoietic multipotent progenitor cell,T1,1,43,via_develops_from
ZFA:0005076,primordial vasculature,T1,0,42,unreachable
ZFA:0001376,presumptive ectoderm,T1,0,41,unreachable
ZFA:0009292,radial glial cell,T1,1,40,unreachable
ZFA:0005738,intestinal bulb primordium,T1,0,39,via_develops_from
ZFA:0000146,presumptive brain,T1,0,39,unreachable
ZFA:0001213,presumptive rhombomere 3,T1,0,39,unreachable
ZFA:0000250,opercle,T1,0,38,via_develops_from
ZFA:0000591,presumptive paraxial mesoderm,T1,0,37,unreachable
ZFA:0005323,ionocyte,T1,1,35,unreachable
ZFA:0009183,epidermal cell,T1,1,35,unreachable
ZFA:0009258,angioblastic mesenchymal cell,T1,1,34,unreachable
ZFA:0001211,presumptive rhombomere 5,T1,0,34,unreachable
ZFA:0001262,gonad primordium,T1,0,34,unreachable
ZFA:0007070,otic sensory epithelium,T1,0,34,unreachable
ZFA:0009306,neuroepithelial cell,T1,1,33,unreachable
ZFA:0001453,pectoral fin field,T1,0,33,unreachable
ZFA:0000816,oral epithelium,T1,0,32,unreachable
ZFA:0001069,ventral fin fold,T1,0,32,unreachable
ZFA:0001200,corpuscles of Stannius,T1,0,32,unreachable
ZFA:0005077,vascular cord,T1,0,32,unreachable
ZFA:0000124,liver primordium,T1,0,31,via_develops_from
ZFA:0001080,sclerotome,T1,0,31,via_develops_from
ZFA:0009081,mesenchymal cell,T1,1,31,unreachable
ZFA:0009386,somatic cell,T1,1,31,unreachable
ZFA:0001208,presumptive rhombomere 2,T1,0,31,unreachable
ZFA:0001719,presumptive cardiac ventricle heart tube,T1,0,31,unreachable
ZFA:0000541,marginal blastomere,T1,1,30,unreachable
ZFA:0001072,thyroid follicle,T1,0,29,via_develops_from
ZFA:0000064,presumptive retinal pigmented epithelium,T1,0,29,unreachable
ZFA:0001198,adenohypophyseal placode,T1,0,29,unreachable
ZFA:0009097,enteroendocrine cell,T1,1,28,unreachable
ZFA:0000106,extension,T1,0,28,unreachable
ZFA:0001634,perichondrium,T1,0,28,unreachable
ZFA:0007035,spinal cord neural rod,T1,0,28,unreachable
ZFA:0001189,vertebra,T1,0,27,via_develops_from
ZFA:0009325,erythroid lineage cell,T1,1,26,via_develops_from
ZFA:0009106,steroid hormone secreting cell,T1,1,26,unreachable
ZFA:0001207,presumptive rhombomere 1,T1,0,26,unreachable
ZFA:0001284,optic fissure,T1,0,26,unreachable
ZFA:0005039,anterior lateral mesoderm,T1,0,26,unreachable
ZFA:0007018,forebrain neural plate,T1,0,26,unreachable
ZFA:0000006,ball,T1,0,25,unreachable
ZFA:0001410,orbital region,T1,0,25,unreachable
ZFA:0005509,palate,T1,0,25,unreachable
ZFA:0007044,midbrain hindbrain boundary neural plate,T1,0,25,unreachable
ZFA:0005242,multi-ciliated epithelial cell,T1,1,24,unreachable
ZFA:0001596,joint,T1,0,24,unreachable
ZFA:0009356,myeloid lineage restricted progenitor cell,T1,1,23,unreachable
ZFA:0000568,presumptive blood,T1,0,23,unreachable
ZFA:0001178,non neural ectoderm,T1,0,23,unreachable
ZFA:0001675,ligament,T1,0,23,unreachable
ZFA:0005272,immature gonad,T1,0,23,unreachable
ZFA:0007028,spinal cord neural keel,T1,0,23,unreachable
ZFA:0009031,osteoblast,T1,1,22,via_develops_from
ZFA:0000189,otic region,T1,0,22,unreachable
ZFA:0007059,neurogenic field,T1,0,22,unreachable
ZFA:0001554,lepidotrichium,T1,0,21,via_develops_from
ZFA:0005134,dental epithelium,T1,0,21,via_develops_from
ZFA:0001210,presumptive rhombomere 6,T1,0,21,unreachable
ZFA:0009355,lymphoid progenitor cell,T1,1,20,unreachable
