atlas,cluster_id,broad_gold,fine_gold,current_kind,current_bucket,current_correct,category,candidate_zfa,candidate_name,candidate_tier,candidate_support,candidate_depth,best_parent_support,clears_06_floor,fine_match
daniocell,fin.18,fin,fin,named,pectoral fin,1,covered,,,,0,-1,0,0,0
daniocell,fin.19,fin,fin,named,epidermis,0,selection_bound,,,,0,-1,0,0,0
daniocell,fin.2,fin,fin,named,pectoral fin,1,covered,,,,0,-1,0,0,0
daniocell,fin.20,fin,fin,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,fin.21,fin,fin,named,pectoral fin,1,covered,,,,0,-1,0,0,0
daniocell,fin.22,fin,fin,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,fin.3,fin,fin,named,epidermis,0,selection_bound,,,,0,-1,0,0,0
daniocell,fin.4,fin,fin,named,fin,1,covered,,,,0,-1,0,0,0
daniocell,fin.5,fin,fin,named,epidermis,0,selection_bound,,,,0,-1,0,0,0
daniocell,fin.6,fin,fin,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,fin.7,fin,fin,rollup,mesoderm,0,selection_bound,,,,0,-1,0,0,0
daniocell,fin.8,fin,fin,named,pectoral fin,1,covered,,,,0,-1,0,0,0
daniocell,fin.9,fin,fin,named,fin fold pectoral fin bud,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.1,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.10,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.11,glia,glial,named,diencephalon,1,covered,,,,0,-1,0,0,0
daniocell,glia.12,glia,glial,named,diencephalon,1,covered,,,,0,-1,0,0,0
daniocell,glia.13,glia,glial,named,telencephalon,1,covered,,,,0,-1,0,0,0
daniocell,glia.14,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.15,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.16,glia,glial,named,forebrain,1,covered,,,,0,-1,0,0,0
daniocell,glia.17,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.18,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.19,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.2,glia,glial,named,brain,1,covered,,,,0,-1,0,0,0
daniocell,glia.20,glia,glial,abstain,mixed/unresolved,0,selection_bound,,,,0,-1,0,0,0
daniocell,glia.21,glia,glial,named,telencephalon,1,covered,,,,0,-1,0,0,0
